seq,time,data[0],data[1],data[2],data[3],data[4],data[5],data[6]
201,1710926456621672015,2051,2060,2056,2062,2047,2047,1192
202,1710926456631671368,2058,2064,2096,2056,2050,2057,1193
203,1710926456641671421,2054,2040,2021,2054,2056,2049,1193
204,1710926456651670985,2053,2052,2047,2067,2049,2058,1195
205,1710926456661673564,2053,2039,2014,2053,2052,2050,1194
206,1710926456671657447,2056,2034,1976,2058,2048,2043,1191
207,1710926456681655608,2062,2074,2049,2057,2056,2049,1194
208,1710926456691673736,2051,2040,2097,2047,2052,2042,1191
209,1710926456701656467,2056,2069,2082,2060,2060,2052,1195
210,1710926456711656311,2051,2048,2055,2061,2049,2050,1195
211,1710926456721657487,2054,2076,2089,2061,2060,2053,1195
212,1710926456731657342,2053,2051,2049,2063,2052,2053,1193
213,1710926456741657486,2052,2054,2053,2050,2048,2043,1193
214,1710926456751657800,2064,2056,2113,2058,2056,2057,1197
215,1710926456761657755,2065,2057,2020,2053,2063,2054,1195
216,1710926456771658440,2067,2075,2169,2081,2062,2061,1196
217,1710926456781655989,2064,2044,2026,2056,2061,2059,1193
218,1710926456791654420,2055,2049,2047,2050,2051,2058,1195
219,1710926456801656318,2056,2052,2042,2052,2040,2054,1196
220,1710926456811654749,2045,2040,1990,2057,2044,2050,1194
221,1710926456821659752,2056,2051,2013,2068,2052,2056,1195
222,1710926456831658153,2027,2047,2086,2050,2040,2042,1193
223,1710926456841658228,2055,2066,2080,2059,2057,2049,1195
224,1710926456851660586,2056,2064,2078,2058,2058,2058,1194
225,1710926456861655961,2056,2049,2037,2057,2057,2049,1195
226,1710926456871657478,2056,2045,2030,2047,2049,2059,1193
227,1710926456881660949,2074,2064,2069,2064,2062,2060,1195
228,1710926456891653700,2060,2056,2053,2060,2054,2060,1194
229,1710926456901657130,2050,2028,2023,2049,2058,2057,1194
230,1710926456911654048,2064,2079,2123,2061,2050,2058,1194
231,1710926456921658220,2051,2036,1982,2044,2052,2052,1193
232,1710926456931654357,2039,2041,2034,2050,2041,2045,1192
233,1710926456941654791,2056,2061,2036,2054,2066,2050,1194
234,1710926456951658543,2056,2050,2062,2064,2051,2057,1193
235,1710926456961656382,2062,2055,2048,2056,2060,2054,1193
236,1710926456971687585,2057,2066,2041,2055,2052,2053,1196
237,1710926456981736242,2050,2046,2017,2048,2052,2057,1193
238,1710926456991650613,2053,2047,2061,2065,2052,2056,1196
239,1710926457001658724,2048,2056,2105,2052,2057,2050,1195
240,1710926457011660721,2060,2048,2027,2059,2050,2055,1196
241,1710926457021662638,2060,2047,2021,2053,2064,2064,1196
242,1710926457031659948,2049,2042,2020,2050,2044,2056,1193
243,1710926457041660573,2056,2040,2025,2056,2055,2058,1193
244,1710926457051659605,2046,2034,2064,2057,2043,2050,1194
245,1710926457061680799,2045,2044,2037,2040,2050,2045,1192
246,1710926457071661767,2068,2057,2056,2064,2053,2057,1192
247,1710926457081652603,2058,2052,2049,2052,2057,2050,1195
248,1710926457091655914,2046,2037,1970,2056,2042,2040,1193
249,1710926457101654145,2036,2043,1993,2056,2047,2041,1192
250,1710926457111657986,2063,2062,2093,2056,2059,2057,1195
251,1710926457121661888,2054,2047,2041,2047,2052,2052,1194
252,1710926457131661370,2050,2047,2046,2052,2047,2061,1194
253,1710926457141653941,2044,2041,1996,2046,2056,2048,1192
254,1710926457151657802,2052,2068,2117,2066,2045,2054,1196
255,1710926457161657004,2050,2044,2025,2051,2060,2052,1195
256,1710926457171663630,2056,2046,2011,2059,2051,2056,1192
257,1710926457181657764,2052,2052,2032,2030,2048,2050,1194
258,1710926457191648029,2056,2062,2104,2070,2055,2065,1196
259,1710926457201652432,2046,2043,2021,2044,2045,2046,1191
260,1710926457211648418,2051,2049,2050,2046,2044,2056,1196
261,1710926457221663881,2050,2053,2040,2058,2070,2057,1194
262,1710926457231654388,2059,2054,2049,2034,2043,2054,1195
263,1710926457241654552,2049,2051,2032,2051,2054,2052,1194
264,1710926457251655337,2030,2028,2012,2050,2032,2036,1193
265,1710926457261655021,2068,2072,2110,2064,2061,2056,1195
266,1710926457271879190,2056,2054,2069,2066,2052,2052,1194
267,1710926457281673483,2056,2055,2056,2069,2059,2052,1193
268,1710926457291653941,2054,2084,2122,2044,2053,2060,1196
269,1710926457301657501,2059,2064,2100,2066,2062,2058,1193
270,1710926457311653918,2056,2049,2048,2056,2054,2058,1192
271,1710926457321684651,2061,2059,2070,2064,2062,2057,1195
272,1710926457331654908,2056,2055,2057,2047,2047,2049,1196
273,1710926457341662517,2058,2046,2047,2053,2049,2056,1193
274,1710926457351663253,2059,2056,2060,2052,2055,2056,1195
275,1710926457361657886,2053,2052,2054,2053,2056,2054,1193
276,1710926457371661146,2058,2056,2068,2051,2045,2051,1196
277,1710926457381657574,2058,2061,2016,2056,2058,2057,1195
278,1710926457391661826,2056,2056,2059,2064,2042,2052,1197
279,1710926457401658232,2065,2054,2030,2057,2053,2051,1197
280,1710926457411673797,2049,2036,2020,2052,2036,2048,1196
281,1710926457421687536,2052,2032,1997,2058,2066,2055,1193
282,1710926457431687891,2066,2083,2184,2051,2056,2065,1196
283,1710926457441657127,2049,2043,2013,2044,2016,2044,1193
284,1710926457451657010,2053,2040,2017,2057,2047,2060,1196
285,1710926457461660050,2071,2064,2053,2051,2055,2057,1193
286,1710926457471664353,2057,2053,2056,2036,2040,2052,1195
287,1710926457481659427,2054,2061,2094,2045,2033,2041,1192
288,1710926457491666645,2015,2019,2009,2053,2034,2035,1192
289,1710926457501659746,2058,2067,2084,2065,2056,2048,1194
290,1710926457511656303,2064,2052,2021,2043,2045,2061,1197
291,1710926457521663431,2062,2077,2097,2056,2056,2056,1196
292,1710926457531657283,2052,2044,2052,2056,2056,2060,1194
293,1710926457541666034,2058,2048,2038,2062,2106,2080,1195
294,1710926457551659586,2064,2047,2038,2054,2077,2091,1196
295,1710926457561659490,2043,2041,2015,2024,2037,2051,1192
296,1710926457571636810,2057,2050,2072,2056,2058,2058,1196
297,1710926457581658836,2036,2040,2032,2047,2076,2058,1192
298,1710926457591661796,2057,2061,2072,2049,2050,2054,1196
299,1710926457601662942,2044,2040,2022,2036,2044,2041,1193
300,1710926457611660422,2052,2064,2154,2058,2040,2054,1194
301,1710926457621660065,2056,2034,2030,2058,2057,2064,1197
302,1710926457631661110,2056,2060,2087,2072,2048,2063,1195
303,1710926457641662127,2064,2058,2093,2056,2093,2037,1194
304,1710926457651660588,2052,2060,2016,2082,2073,2074,1194
305,1710926457661661693,2056,2054,2058,2056,2060,2051,1194
306,1710926457671662670,2059,2042,2047,2045,2026,2046,1192
307,1710926457681661531,2051,2046,2022,2061,2052,2049,1196
308,1710926457691659211,2059,2063,2089,2056,2052,2059,1196
309,1710926457701662973,2053,2052,2031,2039,2048,2048,1196
310,1710926457711656474,2036,2040,2025,2044,2013,2048,1195
311,1710926457721656828,2046,2047,2027,2047,2090,2046,1192
312,1710926457731657634,2059,2057,2062,2049,2064,2049,1194
313,1710926457741660814,2049,2040,2016,2046,2052,2044,1192
314,1710926457751659716,2065,2064,2110,2053,2031,2040,1190
315,1710926457761658418,2050,2040,2033,2052,2044,2034,1194
316,1710926457771659594,2057,2056,2069,2060,2060,2048,1197
317,1710926457781671490,2046,2060,2030,2047,2031,2031,1191
318,1710926457791662147,2043,2043,2049,2052,2044,2056,1195
319,1710926457801659546,2053,2044,2030,2029,2067,2072,1196
