seq,time,data[0],data[1],data[2],data[3],data[4],data[5],data[6]
201,1711002974196604361,2054,2045,2008,2043,2008,2049,1195
202,1711002974206606870,2064,2060,2090,2059,2084,2061,1196
203,1711002974216606023,2062,2073,2147,2077,2060,2056,1197
204,1711002974226605576,2056,2049,2044,2056,2064,2049,1197
205,1711002974236605821,2051,2050,2042,2051,2068,2058,1198
206,1711002974246605244,2046,2041,2029,2047,2065,2044,1193
207,1711002974256606761,2060,2058,2047,2049,2039,2053,1197
208,1711002974266604842,2058,2052,2031,2056,2040,2056,1196
209,1711002974276606028,2042,2037,2019,2048,2024,2050,1196
210,1711002974286609138,2050,2042,2033,2042,2044,2051,1195
211,1711002974296611107,2056,2052,2040,2032,2026,2055,1196
212,1711002974306608155,2052,2052,2048,2044,2064,2056,1196
213,1711002974316607498,2053,2041,2019,2045,2034,2047,1194
214,1711002974326608945,2056,2058,2106,2068,2053,2060,1195
215,1711002974336608629,2052,2045,2051,2041,2014,2057,1195
216,1711002974346608473,2058,2054,2038,2037,2021,2045,1193
217,1711002974356612325,2052,2054,2058,2021,1978,2042,1194
218,1711002974366611137,2056,2051,2036,2056,2040,2054,1195
219,1711002974376607163,2052,2052,2056,2049,2083,2056,1197
220,1711002974386611786,2057,2064,2108,2064,2065,2053,1194
221,1711002974396612522,2056,2047,2052,2019,2074,2056,1196
222,1711002974406613017,2060,2058,2056,2051,2068,2065,1195
223,1711002974416601659,2063,2084,2188,2060,2035,2059,1194
224,1711002974426600833,2049,2057,2064,2060,2074,2054,1196
225,1711002974436600256,2058,2059,2073,2054,2026,2050,1197
226,1711002974446598707,2065,2084,2099,2065,2054,2053,1196
227,1711002974456601857,2050,2037,2000,2027,2044,2052,1196
228,1711002974466605208,2058,2046,2056,2062,2044,2050,1196
229,1711002974476600252,2052,2045,2030,2053,2034,2051,1198
230,1711002974486600929,2052,2049,2030,2056,2048,2056,1197
231,1711002974496622113,2050,2061,2088,2064,2053,2056,1197
