seq,time,data[0],data[1],data[2],data[3],data[4],data[5],data[6]
201,1713841906181459927,2056,2061,2043,2084,2092,2059,1196
202,1713841906191464310,2060,2056,2054,2058,2037,2051,1198
203,1713841906201460968,2049,2050,2056,2064,2064,2041,1194
204,1713841906211461784,2058,2047,2047,2050,2082,2055,1195
205,1713841906221462190,2056,2056,2053,2062,2072,2055,1198
206,1713841906231466884,2049,2048,2050,2047,2032,2046,1195
207,1713841906241463612,2049,2052,2046,1984,2061,2050,1197
208,1713841906251464078,2054,2052,2061,2062,2056,2056,1196
209,1713841906261464534,2054,2055,2043,2034,2042,2053,1196
210,1713841906271465650,2054,2058,2089,2059,2045,2051,1197
211,1713841906281465424,2058,2062,2041,2027,2041,2051,1198
212,1713841906291466631,2064,2066,2077,2037,2037,2056,1198
213,1713841906301467217,2056,2056,2062,2044,2054,2053,1198
214,1713841906311467172,2056,2056,2060,2063,2065,2056,1197
215,1713841906321466936,2051,2050,2042,2043,2056,2053,1198
216,1713841906331468674,2060,2077,2121,2053,2042,2052,1198
217,1713841906341470141,2054,2056,2039,2057,2065,2053,1196
218,1713841906351468433,2053,2045,2042,2055,2076,2054,1198
219,1713841906361468919,2064,2071,2070,2070,2056,2056,1198
220,1713841906371477379,2056,2046,2042,2073,2064,2056,1195
221,1713841906381470130,2056,2052,2025,2040,2058,2050,1196
222,1713841906391470977,2056,2049,2057,2060,2038,2050,1197
223,1713841906401471212,2055,2053,2057,2058,2044,2050,1196
224,1713841906411456759,2057,2054,2056,2027,2025,2053,1196
225,1713841906421472904,2053,2051,2048,2074,2058,2052,1196
226,1713841906431475044,2060,2049,2049,2076,2052,2053,1197
227,1713841906441456412,2054,2055,2060,2053,2045,2056,1196
228,1713841906451479661,2056,2044,2047,2061,2044,2056,1194
229,1713841906461456302,2058,2068,2068,2049,2053,2054,1196
230,1713841906471475984,2049,2024,2013,2042,2089,2056,1197
231,1713841906481475548,2058,2074,2115,2056,2086,2056,1196
232,1713841906491477847,2054,2061,2037,2057,2000,2044,1195
233,1713841906501461460,2056,2054,2056,2049,2057,2051,1196
234,1713841906511460463,2060,2052,2051,2073,2048,2056,1197
235,1713841906521459045,2056,2049,2046,2041,2045,2050,1197
236,1713841906531501040,2052,2052,2054,2062,2043,2056,1197
237,1713841906541469915,2052,2057,2047,2029,2056,2050,1198
238,1713841906551489387,2056,2055,2063,2060,2046,2055,1197
239,1713841906561465897,2055,2057,2053,2058,2023,2046,1194
240,1713841906571463898,2056,2057,2059,2057,2054,2057,1195
241,1713841906581464163,2054,2056,2054,2049,2072,2052,1196
242,1713841906591486350,2056,2056,2060,2045,2044,2051,1197
243,1713841906601482117,2063,2063,2085,2036,2049,2056,1197
244,1713841906611456923,2057,2047,2050,2072,2056,2057,1196
245,1713841906621463611,2054,2059,2056,2052,2054,2050,1196
246,1713841906631472222,2056,2054,2062,2050,2009,2056,1196
247,1713841906641488458,2049,2054,2060,2050,2062,2058,1193
248,1713841906651463475,2057,2053,2061,2062,2052,2052,1196
249,1713841906661461054,2052,2052,2041,2052,2066,2054,1196
250,1713841906671460599,2054,2040,2038,2097,2072,2059,1197
251,1713841906681468749,2052,2053,2068,2019,2048,2052,1198
252,1713841906691486006,2056,2047,2041,2057,2049,2056,1195
253,1713841906701460422,2061,2062,2048,2057,2037,2056,1196
254,1713841906711460658,2052,2047,2037,2057,2052,2050,1196
255,1713841906721457827,2052,2045,2041,2036,2037,2043,1192
256,1713841906731466468,2070,2097,2185,2069,2041,2052,1196
257,1713841906741465501,2049,2037,2013,2045,2059,2049,1196
258,1713841906751465766,2044,2011,1972,2047,2044,2048,1196
259,1713841906761462514,2101,2208,2440,2106,2073,2064,1198
260,1713841906771461658,2050,2038,2067,2042,2037,2053,1195
261,1713841906781460330,2054,2035,1962,2056,2056,2050,1195
262,1713841906791462248,2036,1994,1970,2037,2036,2047,1192
263,1713841906801459658,2052,2047,2038,2042,2064,2061,1196
264,1713841906811462638,2057,2056,2056,2084,2072,2056,1196
265,1713841906821460258,2056,2054,2040,2048,2060,2051,1196
266,1713841906831471886,2059,2061,2088,2048,2046,2058,1197
267,1713841906841463424,2052,2047,2036,2042,2050,2052,1196
268,1713841906851465102,2059,2059,2097,2067,2110,2056,1195
269,1713841906861463153,2056,2054,2047,2043,2072,2062,1197
270,1713841906871462607,2052,2036,1988,2040,2029,2045,1194
271,1713841906881469184,2052,2046,1999,2037,2036,2056,1197
272,1713841906891480410,2056,2049,2032,2044,2041,2056,1196
273,1713841906901463251,2054,2043,2040,2049,2056,2058,1197
274,1713841906911461093,2056,2054,2048,2062,2046,2052,1196
275,1713841906921460957,2058,2056,2062,2051,2060,2056,1194
276,1713841906931472604,2057,2050,2054,2065,2072,2058,1198
277,1713841906941457470,2056,2051,2045,2052,2052,2052,1194
278,1713841906951457695,2058,2060,2076,2068,2044,2053,1194
279,1713841906961459764,2049,2046,2045,2058,2057,2056,1196
280,1713841906971459638,2056,2052,2042,2042,2056,2054,1195
281,1713841906981462908,2053,2053,2052,2072,2055,2056,1196
282,1713841906991462443,2056,2050,2037,2064,2072,2057,1196
283,1713841907001468228,2047,2047,2030,2046,2051,2052,1196
284,1713841907011468464,2057,2050,2042,2076,2096,2062,1196
285,1713841907021487865,2052,2047,2045,2056,2054,2053,1197
286,1713841907031470938,2058,2057,2051,2068,2047,2050,1195
287,1713841907041474119,2058,2052,2040,2036,2043,2054,1196
288,1713841907051470055,2054,2049,2040,2052,2075,2054,1197
289,1713841907061471422,2060,2057,2042,2070,2086,2061,1198
290,1713841907071464334,2056,2044,2047,2077,2052,2053,1198
291,1713841907081471342,2052,2055,2036,2050,2059,2052,1199
292,1713841907091470335,2050,2043,2029,2043,2045,2054,1197
293,1713841907101469628,2052,2050,2052,2060,2062,2052,1200
294,1713841907111467839,2056,2046,2031,2074,2072,2057,1197
295,1713841907121464638,2058,2052,2041,2058,2059,2033,1195
296,1713841907131469312,2056,2060,2064,2049,2037,2046,1192
297,1713841907141472973,2058,2061,2068,2075,2042,2038,1194
298,1713841907151465543,2056,2047,2049,2052,2048,2060,1195
299,1713841907161469817,2052,2054,2046,2056,2060,2053,1196
300,1713841907171463289,2056,2056,2074,2058,2049,2053,1195
301,1713841907181467903,2057,2052,2043,2044,2056,2046,1192
302,1713841907191473468,2057,2060,2042,2059,2055,2062,1197
303,1713841907201464004,2064,2062,2062,2059,2061,2052,1193
304,1713841907211468057,2060,2050,2052,2056,2052,2052,1198
305,1713841907221467019,2057,2057,2056,2056,2058,2052,1197
306,1713841907231473486,2055,2049,2047,2059,2056,2056,1196
307,1713841907241472379,2056,2056,2056,2050,2060,2053,1196
308,1713841907251470019,2056,2053,2052,2060,2050,2054,1197
309,1713841907261467900,2064,2067,2060,2054,2061,2056,1196
310,1713841907271468746,2052,2047,2053,2069,2058,2054,1197
311,1713841907281471997,2052,2047,2029,2036,2059,2053,1197
312,1713841907291472492,2061,2054,2025,2062,2050,2058,1196
313,1713841907301473379,2052,2055,2052,2058,2060,2054,1197
314,1713841907311472873,2061,2066,2082,2077,2034,2052,1198
315,1713841907321471084,2060,2061,2050,2049,2050,2054,1196
316,1713841907331475226,2062,2056,2056,2048,2048,2056,1196
317,1713841907341475181,2046,2048,2046,2041,2060,2056,1195
318,1713841907351473353,2056,2050,2050,2066,2046,2052,1195
319,1713841907361474880,2052,2046,2045,2050,2054,2046,1193
320,1713841907371475225,2061,2065,2086,2058,2041,2057,1195
321,1713841907381474489,2056,2052,2039,2073,2068,2057,1196
322,1713841907391459946,2054,2050,2046,2005,2026,2053,1194
323,1713841907401478215,2053,2049,2052,2052,2061,2052,1196
324,1713841907411477298,2059,2056,2069,2052,2044,2052,1196
325,1713841907421461502,2053,2049,2047,2057,2058,2050,1196
326,1713841907431465565,2057,2056,2058,2048,2048,2056,1197
327,1713841907441481370,2056,2056,2060,2060,2057,2051,1197
328,1713841907451465474,2056,2050,2046,2057,2043,2052,1196
329,1713841907461479596,2047,2051,2050,2060,2047,2056,1197
330,1713841907471464341,2056,2056,2061,2064,2035,2055,1199
331,1713841907481462964,2055,2052,2050,2034,2060,2050,1197
332,1713841907491465122,2059,2065,2085,2108,2053,2056,1198
333,1713841907501461520,2053,2050,2052,2097,2070,2054,1197
334,1713841907511464751,2053,2052,2047,2054,2045,2053,1198
335,1713841907521459445,2053,2052,2056,2042,2051,2052,1196
336,1713841907531466734,2060,2056,2057,2065,2043,2052,1197
337,1713841907541471979,2056,2052,2044,2060,2050,2057,1198
338,1713841907551464870,2056,2050,2023,2030,2034,2047,1194
339,1713841907561464834,2055,2056,2050,2049,2061,2053,1196
340,1713841907571466332,2056,2052,2050,2045,2045,2052,1194
341,1713841907581462980,2057,2060,2052,2084,2046,2047,1192
342,1713841907591463787,2052,2036,2017,2047,2040,2045,1193
343,1713841907601468911,2054,2053,2050,2074,2064,2053,1196
344,1713841907611473835,2057,2062,2073,2083,2040,2056,1197
345,1713841907621464943,2052,2059,2065,2040,2054,2050,1197
346,1713841907631482100,2057,2051,2051,2054,2034,2049,1197
347,1713841907641470633,2054,2056,2071,2056,2051,2052,1196
348,1713841907651464786,2052,2043,2029,2076,2069,2051,1196
349,1713841907661471153,2053,2050,2041,2044,2044,2056,1196
350,1713841907671475637,2056,2052,2051,2056,2047,2053,1198
351,1713841907681467757,2053,2054,2045,2060,2084,2054,1200
352,1713841907691480285,2053,2048,2039,2058,2046,2051,1198
