seq,time,data[0],data[1],data[2],data[3],data[4],data[5],data[6]
201,1713855286552940787,2058,2036,2024,1992,2035,2070,1196
202,1713855286562941639,2051,2068,2058,2089,2068,2044,1193
203,1713855286572942000,2059,2048,2063,2014,2037,2049,1197
204,1713855286582917625,2054,2061,2060,2112,2076,2062,1194
205,1713855286592943163,2052,2030,2029,2020,2038,2056,1195
206,1713855286602942954,2060,2059,2056,2058,2057,2049,1195
207,1713855286612944326,2050,2028,2033,2001,2037,2045,1194
208,1713855286622943456,2059,2072,2108,2092,2064,2062,1197
209,1713855286632946482,2056,2044,2063,2024,2056,2073,1196
210,1713855286642948105,2050,2060,2036,2080,2062,2054,1198
211,1713855286652945821,2058,2056,2047,2021,2050,2052,1199
212,1713855286662945021,2056,2050,2068,2072,2069,2056,1197
213,1713855286672945031,2044,2018,2024,2029,2047,2045,1196
214,1713855286682948979,2053,2066,2056,2068,2068,2061,1198
215,1713855286692945813,2058,2056,2061,2028,2032,2037,1193
216,1713855286702945824,2048,2057,2072,2094,2073,2057,1196
217,1713855286712945654,2050,2024,2011,2044,2035,2055,1196
218,1713855286722945875,2063,2088,2081,2092,2056,2033,1193
219,1713855286732946086,2056,2030,2016,2044,2047,2051,1195
220,1713855286742946077,2072,2104,2116,2074,2060,2056,1194
221,1713855286752946908,2045,2023,2004,2030,2044,2061,1196
222,1713855286762947220,2046,2061,2061,2077,2047,2030,1194
223,1713855286772947541,2059,2072,2122,2014,2053,2050,1197
224,1713855286782946869,2055,2061,2052,2054,2066,2043,1194
225,1713855286792947051,2052,2034,2064,2037,2052,2077,1198
226,1713855286802947702,2051,2062,2052,2082,2048,2047,1193
227,1713855286812948655,2056,2024,2029,2064,2060,2082,1197
228,1713855286822948675,2060,2080,2064,2095,2041,2037,1194
229,1713855286832952353,2054,2050,2084,2002,2052,2060,1198
230,1713855286842946662,2053,2060,2048,2081,2057,2052,1196
231,1713855286852946773,2052,2042,2052,2031,2045,2054,1196
232,1713855286862947154,2058,2053,2053,2086,2067,2049,1198
233,1713855286872947666,2067,2077,2077,2033,2046,2048,1196
234,1713855286882947586,2052,2046,2069,2077,2034,2025,1193
235,1713855286892948368,2059,2068,2064,2025,2046,2056,1196
236,1713855286902949059,2057,2061,2047,2077,2082,2038,1194
237,1713855286912949301,2056,2049,2055,2024,2037,2070,1196
238,1713855286922949752,2060,2079,2066,2047,2054,2046,1192
239,1713855286932949793,2054,2042,2040,2025,2036,2048,1197
240,1713855286942949382,2061,2080,2085,2076,2064,2038,1194
241,1713855286952950766,2059,2035,2036,2035,2044,2061,1196
242,1713855286962950265,2048,2052,2015,2096,2073,2044,1193
243,1713855286972950286,2058,2033,2001,2028,2038,2062,1197
244,1713855286982950676,2050,2061,2064,2066,2077,2059,1197
245,1713855286992950257,2052,2043,2050,2024,2056,2082,1199
246,1713855287002950968,2059,2081,2098,2131,2088,2055,1196
247,1713855287012951069,2050,2034,2047,2030,2047,2067,1193
248,1713855287022968392,2053,2068,2069,2144,2072,2048,1196
249,1713855287032951099,2053,2054,2070,2033,2049,2054,1197
250,1713855287042951261,2058,2065,2058,2081,2072,2061,1194
251,1713855287052953064,2060,2050,2078,2050,2051,2056,1195
252,1713855287062935552,2056,2068,2091,2073,2055,2049,1195
253,1713855287072953045,2056,2040,2045,2024,2043,2062,1198
254,1713855287082952815,2060,2068,2068,2082,2062,2052,1197
255,1713855287092949760,2061,2056,2095,2037,2056,2069,1195
256,1713855287102952185,2043,2044,2009,2077,2048,2036,1193
257,1713855287112953057,2056,2044,2047,2028,2048,2060,1200
258,1713855287122952937,2052,2059,2058,2082,2065,2047,1190
259,1713855287132954090,2063,2061,2079,2028,2050,2062,1196
260,1713855287142958638,2069,2077,2060,2070,2064,2047,1195
261,1713855287152953490,2048,2027,2037,2023,2032,2056,1196
262,1713855287162953430,2049,2058,2042,2073,2076,2061,1196
263,1713855287172955183,2059,2058,2093,2018,2041,2050,1196
264,1713855287182973919,2050,2066,2056,2079,2064,2056,1196
265,1713855287192955414,2058,2052,2075,2039,2056,2068,1197
266,1713855287202938193,2056,2064,2060,2078,2062,2046,1194
267,1713855287212936921,2053,2036,2036,2032,2048,2056,1197
268,1713855287222937332,2053,2047,2028,2076,2064,2052,1194
269,1713855287232938004,2057,2051,2047,2046,2044,2054,1198
270,1713855287242937713,2043,2050,2080,2072,2062,2050,1198
271,1713855287252954445,2039,2041,2044,2026,2056,2064,1198
272,1713855287262938706,2051,2059,2054,2083,2061,2047,1196
273,1713855287272957863,2053,2046,2050,2038,2047,2052,1197
274,1713855287282955578,2052,2040,2037,2077,2065,2049,1195
275,1713855287292960428,2066,2069,2104,2037,2044,2047,1193
276,1713855287302938387,2058,2052,2041,2168,2072,2052,1196
277,1713855287312937726,2056,2040,2038,2036,2050,2059,1196
278,1713855287322939560,2055,2064,2060,2071,2061,2050,1197
279,1713855287332972162,2061,2050,2052,2024,2047,2053,1196
280,1713855287342978895,2051,2064,2059,2081,2064,2047,1193
281,1713855287352934652,2056,2048,2057,2025,2050,2056,1196
282,1713855287362941616,2061,2064,2064,2077,2065,2047,1192
283,1713855287372947277,2050,2031,2040,2038,2051,2055,1195
284,1713855287382965511,2053,2062,2054,2085,2065,2054,1198
285,1713855287392960513,2052,2044,2044,2039,2050,2060,1200
286,1713855287402940084,2068,2088,2069,2076,2065,2049,1196
287,1713855287412941458,2049,2032,2039,2025,2042,2049,1197
288,1713855287422941598,2057,2062,2060,2080,2068,2050,1197
289,1713855287432939685,2076,2068,2066,2058,2045,2061,1197
290,1713855287442933254,2068,2059,2060,2056,2045,2053,1196
291,1713855287452933113,2050,2042,2050,2076,2056,2059,1196
292,1713855287462942782,2056,2064,2060,2076,2065,2052,1197
293,1713855287472942161,2053,2040,2052,2024,2042,2059,1196
294,1713855287482943845,2054,2061,2056,2045,2046,2047,1194
295,1713855287492949416,2049,2043,2043,2047,2047,2055,1195
296,1713855287502941532,2050,2040,2039,2072,2057,2053,1198
297,1713855287512951190,2071,2076,2096,2020,2047,2053,1196
298,1713855287522942624,2053,2057,2058,2077,2060,2054,1193
299,1713855287532961831,2054,2048,2047,2020,2044,2055,1195
300,1713855287542960699,2053,2053,2037,2058,2066,2053,1195
301,1713855287552943097,2051,2044,2075,2045,2053,2057,1194
302,1713855287562940823,2052,2062,2062,2069,2056,2051,1196
303,1713855287572941264,2053,2027,2017,2036,2045,2049,1195
304,1713855287582941014,2072,2114,2153,2090,2065,2045,1193
305,1713855287592975489,2056,2035,2043,2034,2044,2053,1198
306,1713855287602940564,2056,2056,2052,2075,2069,2050,1197
307,1713855287612940093,2056,2043,2047,2037,1981,2056,1197
308,1713855287622944172,2056,2058,2060,2081,2060,2057,1195
309,1713855287632938852,2056,2044,2040,2033,2045,2056,1198
310,1713855287642945424,2042,2011,1921,2083,2064,2047,1195
311,1713855287652941528,2041,1992,1917,2043,2045,2048,1197
312,1713855287662941688,2056,2052,2043,2067,2058,2056,1195
313,1713855287672946017,2056,2045,2045,2030,2049,2051,1197
314,1713855287682942240,2049,2052,2044,2079,2060,2049,1197
315,1713855287692971295,2051,2037,2040,2038,2046,2052,1197
316,1713855287702942832,2056,2062,2059,2088,2060,2049,1197
317,1713855287712943764,2052,2034,2009,2046,2052,2068,1196
318,1713855287722912086,2052,2051,2038,2058,2053,2041,1192
319,1713855287732944476,2057,2044,2050,2031,2048,2060,1193
320,1713855287742960347,2056,2061,2068,2078,2060,2049,1197
321,1713855287752942744,2048,2024,2037,2033,2043,2054,1193
322,1713855287762940841,2062,2056,2053,2071,2049,2051,1197
323,1713855287772940531,2050,2049,2064,2033,2042,2059,1197
324,1713855287782944448,2055,2062,2060,2072,2057,2056,1197
325,1713855287792953246,2052,2049,2047,2042,2047,2054,1196
326,1713855287802945652,2052,2066,2064,2083,2060,2052,1194
327,1713855287812942146,2065,2052,2054,2044,2050,2054,1196
328,1713855287822957946,2060,2078,2098,2070,2078,2060,1200
329,1713855287832940904,2069,2121,2188,2034,2064,2056,1199
330,1713855287842945253,2056,2052,2046,2083,2065,2049,1195
331,1713855287852942598,2053,2048,2053,2039,2049,2056,1196
332,1713855287862943801,2057,2059,2057,2080,2060,2051,1198
333,1713855287872943901,2050,2044,2053,2025,2042,2059,1198
334,1713855287882942770,2052,2057,2059,2076,2059,2049,1195
335,1713855287892958690,2053,2035,2037,2032,2046,2056,1195
336,1713855287902948071,2053,2052,2036,2073,2057,2041,1194
337,1713855287912941469,2053,2047,2045,2034,2048,2065,1198
338,1713855287922940958,2052,2064,2064,2069,2053,2045,1192
339,1713855287932941941,2056,2049,2054,2030,2049,2058,1194
340,1713855287943013855,2056,2060,2058,2079,2062,2049,1195
341,1713855287952941010,2056,2043,2050,2040,2051,2062,1197
342,1713855287962943264,2054,2060,2054,2073,2054,2049,1198
343,1713855287972943865,2051,2037,2042,2039,2048,2060,1199
344,1713855287982942784,2054,2062,2061,2065,2053,2052,1197
345,1713855287992957782,2056,2046,2051,2032,2047,2048,1197
346,1713855288002940591,2056,2053,2050,2069,2060,2052,1196
347,1713855288012941963,2053,2046,2048,2042,2048,2063,1197
348,1713855288022941553,2051,2055,2056,2064,2056,2044,1195
349,1713855288032943267,2052,2045,2049,2031,2044,2052,1198
350,1713855288043027375,2052,2058,2051,2076,2068,2060,1196
351,1713855288052948578,2056,2044,2051,2032,2043,2060,1196
352,1713855288062944250,2057,2058,2056,2076,2072,2058,1197
353,1713855288072943448,2059,2041,2066,2037,2055,2064,1197
354,1713855288082940864,2056,2059,2059,2084,2065,2060,1197
355,1713855288092957836,2056,2046,2052,2033,2051,2056,1197
356,1713855288102946004,2049,2051,2046,2065,2058,2046,1195
357,1713855288112943110,2058,2057,2054,2047,2047,2064,1198
358,1713855288122940434,2052,2055,2059,2085,2056,2057,1196
359,1713855288132940705,2064,2057,2057,2037,2053,2058,1195
360,1713855288142954342,2059,2090,2132,2079,2059,2047,1192
361,1713855288152942790,2056,2044,2046,2030,2046,2055,1198
362,1713855288162939314,2057,2059,2057,2076,2064,2056,1200
363,1713855288172954503,2053,2042,2049,2040,2039,2049,1196
364,1713855288182943111,2057,2060,2056,2073,2060,2050,1197
365,1713855288192974852,2056,2045,2045,2035,2042,2045,1193
366,1713855288202942571,2058,2061,2058,2074,2060,2055,1195
367,1713855288212940999,2056,2044,2049,2037,2048,2056,1195
368,1713855288222943123,2051,2058,2057,2069,2061,2056,1197
369,1713855288232949676,2053,2052,2051,2036,2049,2056,1197
370,1713855288242942944,2053,2042,2026,2068,2061,2046,1195
371,1713855288252947913,2053,2040,2042,2045,2045,2056,1195
372,1713855288262948034,2057,2060,2054,2078,2058,2056,1196
373,1713855288272942303,2052,2048,2051,2035,2051,2052,1197
374,1713855288282941312,2053,2058,2049,2068,2069,2058,1198
375,1713855288292965167,2053,2041,2045,2040,2056,2050,1197
376,1713855288302948406,2057,2068,2058,2073,2063,2056,1198
377,1713855288312931414,2056,2057,2056,2037,2065,2057,1196
378,1713855288322942595,2060,2068,2112,2074,2074,2059,1196
379,1713855288332940372,2052,2041,2042,2043,2060,2065,1196
380,1713855288342957083,2055,2059,2052,2073,2056,2050,1203
381,1713855288352927368,2056,2047,2052,2043,2043,2056,1198
382,1713855288362939882,2060,2062,2060,2074,2072,2058,1198
383,1713855288372941575,2058,2049,2052,2052,2049,2054,1195
384,1713855288382956825,2056,2060,2061,2072,2061,2049,1196
385,1713855288392968837,2057,2049,2061,2042,2045,2057,1196
386,1713855288402905529,2055,2064,2061,2067,2060,2054,1197
387,1713855288412936337,2054,2050,2056,2040,2045,2053,1198
388,1713855288422943561,2060,2064,2069,2072,2060,2046,1193
389,1713855288432869943,2056,2050,2045,2042,2045,2058,1197
390,1713855288442958349,2072,2147,2157,2082,2063,2051,1196
391,1713855288452937460,2053,2041,2047,2044,2051,2050,1199
392,1713855288462933002,2055,2056,2058,2078,2065,2053,1196
393,1713855288472922483,2058,2052,2071,2028,2040,2053,1197
394,1713855288482939155,2065,2066,2057,2067,2065,2052,1195
395,1713855288492958932,2052,2044,2040,2025,2029,2053,1198
396,1713855288502937262,2048,2057,2068,2152,2101,2056,1197
397,1713855288512938935,2047,2039,2031,2027,2017,2076,1197
398,1713855288522942503,2052,2055,2065,2082,2073,2066,1194
399,1713855288532977999,2064,2114,2184,2025,2050,2054,1196
400,1713855288542947572,2044,2047,2048,2090,2056,2041,1195
401,1713855288552936713,2064,2050,2047,2050,2065,2060,1198
402,1713855288562943395,2061,2052,2049,2103,2081,2061,1198
403,1713855288572940751,2077,2128,2289,2050,2032,2057,1198
404,1713855288582944529,2050,2037,2033,2049,2056,2056,1195
405,1713855288592985976,2058,2048,2055,2060,2045,2057,1196
406,1713855288602945000,2048,2052,2047,2072,2060,2059,1197
407,1713855288612946453,2063,2073,2088,2023,2028,2049,1198
408,1713855288622959898,2060,2058,2056,2035,2048,2048,1196
409,1713855288632943458,2065,2079,2083,2028,2037,2048,1198
410,1713855288642948488,2057,2059,2053,2064,2056,2066,1196
411,1713855288652940343,2060,2031,2035,2047,2056,2056,1197
412,1713855288662936536,2061,2056,2023,2069,2065,2059,1199
413,1713855288672940684,2048,2019,1986,2038,2052,2056,1196
414,1713855288682941476,2069,2110,2115,2066,2077,2048,1198
415,1713855288692991230,2051,2029,2032,2027,2047,2065,1198
416,1713855288702936127,2059,2062,2056,2076,2074,2051,1197
417,1713855288712935315,2060,2045,2037,2038,2043,2072,1196
418,1713855288722943341,2056,2057,2051,1995,2036,2052,1196
419,1713855288732943341,2064,2057,2058,2074,2051,2075,1198
420,1713855288742943071,2056,2054,2041,2015,2041,1705,1192
421,1713855288752941929,2050,2053,2070,2049,2058,2061,1197
422,1713855288762940857,2060,2068,2065,2085,2066,2062,1197
423,1713855288772939997,2045,2037,2038,2015,2043,2052,1196
424,1713855288782937913,2055,2046,2043,2068,2058,2051,1198
425,1713855288792965555,2068,2063,2082,2056,2052,2036,1194
426,1713855288802940539,2047,2048,2047,2100,2072,2045,1193
427,1713855288812936421,2049,2044,2052,2043,2102,2065,1197
428,1713855288822942743,2062,2069,2081,2097,2012,2046,1195
429,1713855288832943525,2044,2034,2026,2005,2044,2049,1198
430,1713855288842941972,2065,2068,2088,2098,2077,2061,1196
431,1713855288852946902,2052,2047,2054,2058,2049,2046,1193
432,1713855288862944989,2053,2056,2049,2081,2063,2040,1195
433,1713855288872943456,2043,2034,2037,1991,2056,2061,1196
434,1713855288882941253,2053,2057,2059,2049,2074,2058,1197
435,1713855288892969927,2053,2056,2069,2062,2054,2057,1196
436,1713855288902948587,2045,2050,2056,2076,2064,2044,1195
437,1713855288912938088,2072,2107,2102,1969,2059,2058,1198
438,1713855288922940372,2043,2028,2039,2008,2064,2054,1193
439,1713855288932941665,2060,2051,2034,2060,2080,2072,1197
440,1713855288942954670,2050,2053,2051,2053,2046,2052,1197
441,1713855288952937798,2056,2053,2053,1997,2038,2051,1197
442,1713855288962930566,2063,2067,2075,2096,2077,2054,1196
443,1713855288972940655,2053,2047,2046,2045,2050,2053,1197
444,1713855288982940054,2058,2061,2054,2058,2065,2065,1197
445,1713855288992973808,2057,2054,2050,2076,2056,2058,1195
446,1713855289002936257,2058,2085,2075,2098,2059,2049,1195
447,1713855289012936538,2051,2034,2050,2074,2044,2057,1198
448,1713855289022948591,2061,2043,1989,2088,2049,2048,1198
449,1713855289032938663,2064,2066,2042,2040,2034,2057,1197
450,1713855289042958991,2048,2049,2044,2056,2047,2056,1196
451,1713855289052937711,2053,2048,2056,2040,2043,2061,1197
452,1713855289062937752,2053,2056,2053,2069,2074,2058,1195
453,1713855289072942822,2052,2047,2053,2036,2056,2058,1195
454,1713855289082939976,2063,2062,2061,2128,2060,2053,1196
455,1713855289092976406,2053,2040,2052,2028,2034,2047,1194
456,1713855289102938715,2057,2058,2063,2068,2048,2056,1195
457,1713855289112932794,2057,2040,2063,1992,2000,2054,1196
458,1713855289122941731,2060,2050,2042,2047,2067,2045,1193
459,1713855289132960096,2049,2041,2050,2032,2050,2055,1198
460,1713855289142972970,2052,2053,2038,2053,2064,2062,1196
461,1713855289152947482,2057,2050,2051,1978,2049,2060,1196
462,1713855289162932525,2054,2061,2081,2083,2052,2046,1193
463,1713855289172942344,2052,2044,2045,2032,2048,2056,1195
464,1713855289182941041,2051,2044,2042,2065,2061,2047,1193
465,1713855289192969235,2056,2047,2021,2030,2040,2058,1194
466,1713855289202937055,2053,2053,2047,2072,2061,2051,1194
467,1713855289212937155,2053,2064,2084,2048,2060,2062,1193
468,1713855289222941073,2064,2058,2076,2130,2059,2046,1195
469,1713855289232940392,2044,2042,2031,2040,2060,2056,1197
470,1713855289242962393,2057,2056,2050,2068,2059,2059,1196
471,1713855289252949128,2057,2053,2053,2037,2059,2057,1196
472,1713855289262947175,2058,2057,2063,2058,2057,2056,1198
473,1713855289272938509,2061,2035,2032,1990,2040,2051,1196
474,1713855289282941054,2054,2046,2048,2070,2049,2052,1196
475,1713855289292952196,2053,2041,2045,2044,2049,2062,1196
476,1713855289302942468,2051,2044,2061,2132,2065,2057,1196
